rule_id,rule_name,domain,priority,conditions_json,logic,conclusion_json,explanation,evidence_source,evidence_reference,validation_status
R011,ace_arb_monitoring_low_egfr,ckd,medium,"[{""fact"":""egfr"",""operator"":""<"",""value"":60},{""fact"":""medications"",""operator"":""contains"",""value"":""ace_inhibitor""}]",AND,"{""type"":""monitoring"",""fact"":""potassium_and_egfr_monitoring"",""value"":true}",Individuals with eGFR below 60 receiving ACE inhibitors should have potassium and kidney function monitored periodically.,ADA 2026 Section 11,ADA2026_S11,validated
R012,arb_monitoring_low_egfr,ckd,medium,"[{""fact"":""egfr"",""operator"":""<"",""value"":60},{""fact"":""medications"",""operator"":""contains"",""value"":""arb""}]",AND,"{""type"":""monitoring"",""fact"":""potassium_and_egfr_monitoring"",""value"":true}",Individuals with eGFR below 60 receiving ARBs should have potassium and kidney function monitored periodically.,ADA 2026 Section 11,ADA2026_S11,validated
R013,mra_monitoring_low_egfr,ckd,medium,"[{""fact"":""egfr"",""operator"":""<"",""value"":60},{""fact"":""medications"",""operator"":""contains"",""value"":""spironolactone""}]",AND,"{""type"":""monitoring"",""fact"":""potassium_and_egfr_monitoring"",""value"":true}",Individuals with eGFR below 60 receiving an MRA should have potassium and kidney function monitored periodically.,ADA 2026 Section 11,ADA2026_S11,validated
R014,diuretic_hypokalemia_monitoring,electrolytes,medium,"[{""fact"":""medications"",""operator"":""contains"",""value"":""loop_diuretic""},{""fact"":""potassium"",""operator"":""<"",""value"":3.5}]",AND,"{""type"":""monitoring"",""fact"":""hypokalemia_monitoring"",""value"":true}",Diuretic-treated patients should be monitored for hypokalemia.,ADA 2026 Section 11,ADA2026_S11,validated
R015,ace_arb_potassium_elevated,electrolytes,high,"[{""fact"":""medications"",""operator"":""contains"",""value"":""ace_inhibitor""},{""fact"":""potassium"",""operator"":"">"",""value"":5.5}]",AND,"{""type"":""safety_alert"",""fact"":""hyperkalemia_with_acei"",""value"":true}",Elevated potassium in a patient receiving an ACE inhibitor requires safety review and monitoring.,ADA 2026 Section 11,ADA2026_S11,validated
R016,arb_potassium_elevated,electrolytes,high,"[{""fact"":""medications"",""operator"":""contains"",""value"":""arb""},{""fact"":""potassium"",""operator"":"">"",""value"":5.5}]",AND,"{""type"":""safety_alert"",""fact"":""hyperkalemia_with_arb"",""value"":true}",Elevated potassium in a patient receiving an ARB requires safety review and monitoring.,ADA 2026 Section 11,ADA2026_S11,validated
R017,mra_potassium_elevated,electrolytes,high,"[{""fact"":""medications"",""operator"":""contains"",""value"":""spironolactone""},{""fact"":""potassium"",""operator"":"">"",""value"":5.5}]",AND,"{""type"":""safety_alert"",""fact"":""hyperkalemia_with_mra"",""value"":true}",Elevated potassium in a patient receiving an MRA requires safety review and monitoring.,ADA 2026 Section 11,ADA2026_S11,validated
R018,ckd_bp_above_130_80,hypertension_ckd,high,"[{""fact"":""ckd"",""operator"":""=="",""value"":true},{""fact"":""systolic_bp"",""operator"":"">="",""value"":130}]",AND,"{""type"":""risk_alert"",""fact"":""bp_above_ckd_goal"",""value"":true}",Adults with hypertension and CKD should generally be treated to a BP goal below 130/80 mm Hg.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R019,ckd_dbp_above_80,hypertension_ckd,high,"[{""fact"":""ckd"",""operator"":""=="",""value"":true},{""fact"":""diastolic_bp"",""operator"":"">="",""value"":80}]",AND,"{""type"":""risk_alert"",""fact"":""bp_above_ckd_goal"",""value"":true}",Adults with hypertension and CKD should generally be treated to a BP goal below 130/80 mm Hg.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R020,stage1_hypertension_sbp,hypertension,medium,"[{""fact"":""systolic_bp"",""operator"":"">="",""value"":130},{""fact"":""systolic_bp"",""operator"":""<="",""value"":139},{""fact"":""diastolic_bp"",""operator"":""<"",""value"":90}]",AND,"{""type"":""classification"",""fact"":""stage1_hypertension"",""value"":true}",Stage 1 hypertension includes SBP 130–139 mm Hg when DBP is below 90.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R021,stage1_hypertension_dbp,hypertension,medium,"[{""fact"":""diastolic_bp"",""operator"":"">="",""value"":80},{""fact"":""diastolic_bp"",""operator"":""<="",""value"":89},{""fact"":""systolic_bp"",""operator"":""<"",""value"":140}]",AND,"{""type"":""classification"",""fact"":""stage1_hypertension"",""value"":true}",Stage 1 hypertension includes DBP 80–89 mm Hg when SBP is below 140.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R022,stage2_hypertension_sbp,hypertension,high,"[{""fact"":""systolic_bp"",""operator"":"">="",""value"":140}]",AND,"{""type"":""classification"",""fact"":""stage2_hypertension"",""value"":true}",Stage 2 hypertension includes SBP at least 140 mm Hg.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R023,stage2_hypertension_dbp,hypertension,high,"[{""fact"":""diastolic_bp"",""operator"":"">="",""value"":90}]",AND,"{""type"":""classification"",""fact"":""stage2_hypertension"",""value"":true}",Stage 2 hypertension includes DBP at least 90 mm Hg.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R024,elevated_bp_systolic,hypertension,low,"[{""fact"":""systolic_bp"",""operator"":"">="",""value"":120},{""fact"":""systolic_bp"",""operator"":""<="",""value"":129},{""fact"":""diastolic_bp"",""operator"":""<"",""value"":80}]",AND,"{""type"":""classification"",""fact"":""elevated_blood_pressure"",""value"":true}",Elevated BP is SBP 120–129 with DBP below 80.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R025,normal_bp,hypertension,low,"[{""fact"":""systolic_bp"",""operator"":""<"",""value"":120},{""fact"":""diastolic_bp"",""operator"":""<"",""value"":80}]",AND,"{""type"":""classification"",""fact"":""normal_blood_pressure"",""value"":true}",Normal BP is below 120/80 mm Hg.,ACC/AHA 2017 Hypertension Guideline,AHA2017_HTN,validated
R026,diabetes_age_40_75_ldl70_statin,cardiovascular,high,"[{""fact"":""type2_diabetes"",""operator"":""=="",""value"":true},{""fact"":""age"",""operator"":"">="",""value"":40},{""fact"":""age"",""operator"":""<="",""value"":75},{""fact"":""ldl_c"",""operator"":"">="",""value"":70}]",AND,"{""type"":""therapy_indication"",""fact"":""moderate_intensity_statin_indicated"",""value"":true}",Adults 40–75 with diabetes and LDL-C ≥70 mg/dL are recommended moderate-intensity statin therapy without calculating 10-year risk.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R027,severe_hypercholesterolemia,cardiovascular,high,"[{""fact"":""ldl_c"",""operator"":"">="",""value"":190}]",AND,"{""type"":""therapy_indication"",""fact"":""high_intensity_statin_indicated"",""value"":true}",LDL-C ≥190 mg/dL warrants high-intensity statin therapy without calculating 10-year ASCVD risk.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R028,ascvd_high_ldl,cardiovascular,high,"[{""fact"":""established_ascvd"",""operator"":""=="",""value"":true},{""fact"":""ldl_c"",""operator"":"">="",""value"":70}]",AND,"{""type"":""therapy_indication"",""fact"":""intensive_ldl_lowering_indicated"",""value"":true}",Clinical ASCVD should be treated with high-intensity or maximally tolerated statin therapy; LDL-C 70 is a threshold used for nonstatin consideration in very high risk.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R029,lipid_recheck_after_statin,laboratory_monitoring,medium,"[{""fact"":""statin_started_or_adjusted"",""operator"":""=="",""value"":true}]",AND,"{""type"":""monitoring"",""fact"":""repeat_lipid_4_to_12_weeks"",""value"":true}",Repeat lipid measurement 4–12 weeks after statin initiation or dose adjustment.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R030,primary_prevention_age40_75_risk_discussion,cardiovascular,medium,"[{""fact"":""age"",""operator"":"">="",""value"":40},{""fact"":""age"",""operator"":""<="",""value"":75},{""fact"":""primary_prevention"",""operator"":""=="",""value"":true}]",AND,"{""type"":""decision_support"",""fact"":""ascvd_risk_discussion"",""value"":true}",Adults 40–75 being evaluated for primary prevention should have ASCVD risk estimation and clinician–patient discussion before pharmacologic prevention.,ACC/AHA 2019 Primary Prevention Guideline,AHA2019_PRIMARY,validated
R031,ldl_high_risk_enhancer,cardiovascular,medium,"[{""fact"":""ldl_c"",""operator"":"">="",""value"":160}]",AND,"{""type"":""risk_enhancer"",""fact"":""persistently_elevated_ldl_risk_enhancer"",""value"":true}",Persistently elevated LDL-C ≥160 mg/dL is a risk-enhancing factor.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R032,triglyceride_risk_enhancer,cardiovascular,medium,"[{""fact"":""triglycerides"",""operator"":"">="",""value"":175}]",AND,"{""type"":""risk_enhancer"",""fact"":""elevated_triglycerides_risk_enhancer"",""value"":true}",Persistently elevated triglycerides ≥175 mg/dL are a risk-enhancing factor.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R033,cac_zero_withhold_statins_no_diabetes,cardiovascular,medium,"[{""fact"":""cac_score"",""operator"":""=="",""value"":0},{""fact"":""type2_diabetes"",""operator"":""=="",""value"":false},{""fact"":""family_history_premature_chd"",""operator"":""=="",""value"":false},{""fact"":""smoker"",""operator"":""=="",""value"":false}]",AND,"{""type"":""decision_support"",""fact"":""statin_withhold_may_be_reasonable"",""value"":true}",CAC score zero can support withholding statin therapy in selected adults when higher-risk conditions are absent.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R034,cac_1_99_age55,cardiovascular,medium,"[{""fact"":""cac_score"",""operator"":"">="",""value"":1},{""fact"":""cac_score"",""operator"":""<="",""value"":99},{""fact"":""age"",""operator"":"">="",""value"":55}]",AND,"{""type"":""decision_support"",""fact"":""statin_initiation_reasonable"",""value"":true}",CAC 1–99 favors statin initiation in adults age 55 or older.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R035,cac_100,cardiovascular,high,"[{""fact"":""cac_score"",""operator"":"">="",""value"":100}]",AND,"{""type"":""decision_support"",""fact"":""statin_initiation_reasonable"",""value"":true}",CAC ≥100 is a threshold supporting statin initiation in selected adults.,ACC/AHA 2018 Cholesterol Guideline,AHA2018_CHOL,validated
R036,hfrEF_sglt2,heart_failure,high,"[{""fact"":""heart_failure"",""operator"":""=="",""value"":true},{""fact"":""lvef"",""operator"":""<="",""value"":40},{""fact"":""symptomatic_hf"",""operator"":""=="",""value"":true}]",AND,"{""type"":""therapy_indication"",""fact"":""sglt2i_for_hfrEF"",""value"":true}",SGLT2 inhibitors are recommended for symptomatic chronic HFrEF regardless of diabetes status.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R037,hfrEF_arni_rasi,heart_failure,high,"[{""fact"":""heart_failure"",""operator"":""=="",""value"":true},{""fact"":""lvef"",""operator"":""<="",""value"":40},{""fact"":""symptomatic_hf"",""operator"":""=="",""value"":true}]",AND,"{""type"":""therapy_indication"",""fact"":""guideline_directed_rasi"",""value"":true}",Guideline-directed therapy for HFrEF includes RAS inhibition; ARNI is recommended as first-line when feasible.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R038,hfrEF_beta_blocker,heart_failure,high,"[{""fact"":""heart_failure"",""operator"":""=="",""value"":true},{""fact"":""lvef"",""operator"":""<="",""value"":40}]",AND,"{""type"":""therapy_indication"",""fact"":""guideline_beta_blocker"",""value"":true}",Beta blockers are one of the guideline-directed medication classes for HFrEF.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R039,hfmrEF_sglt2,heart_failure,medium,"[{""fact"":""heart_failure"",""operator"":""=="",""value"":true},{""fact"":""lvef"",""operator"":"">="",""value"":41},{""fact"":""lvef"",""operator"":""<="",""value"":49}]",AND,"{""type"":""therapy_indication"",""fact"":""sglt2i_for_hfmrEF"",""value"":true}",SGLT2 inhibitors can be beneficial in HFmrEF.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R040,hfpeF_sglt2,heart_failure,medium,"[{""fact"":""heart_failure"",""operator"":""=="",""value"":true},{""fact"":""lvef"",""operator"":"">="",""value"":50}]",AND,"{""type"":""therapy_indication"",""fact"":""sglt2i_for_hfpeF"",""value"":true}",SGLT2 inhibitors may be beneficial in HFpEF.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R041,hfimpEF_continue_gdmt,heart_failure,high,"[{""fact"":""heart_failure_improved_ef"",""operator"":""=="",""value"":true}]",AND,"{""type"":""therapy_indication"",""fact"":""continue_gdmt"",""value"":true}",GDMT should be continued in HFimpEF to prevent relapse.,AHA/ACC/HFSA 2022 Heart Failure Guideline,ACC2022_HF,validated
R042,ccd_statin_first_line,cardiovascular,high,"[{""fact"":""chronic_coronary_disease"",""operator"":""=="",""value"":true},{""fact"":""statin"",""operator"":""=="",""value"":false}]",AND,"{""type"":""therapy_indication"",""fact"":""statin_first_line"",""value"":true}",Statins remain first-line lipid-lowering therapy in chronic coronary disease.,ACC 2023 Chronic Coronary Disease Guideline,ACC2023_CCD,validated
R043,ccd_beta_blocker_not_routine,cardiovascular,medium,"[{""fact"":""chronic_coronary_disease"",""operator"":""=="",""value"":true},{""fact"":""mi_within_1_year"",""operator"":""=="",""value"":false},{""fact"":""lvef"",""operator"":"">"",""value"":50},{""fact"":""beta_blocker_other_indication"",""operator"":""=="",""value"":false}]",AND,"{""type"":""therapy_consideration"",""fact"":""long_term_beta_blocker_not_routinely_indicated"",""value"":true}","Long-term beta-blocker therapy is not recommended solely to improve outcomes in CCD absent recent MI, LVEF ≤50%, or another indication.",ACC 2023 Chronic Coronary Disease Guideline,ACC2023_CCD,validated
R044,ccd_first_line_antianginal,cardiovascular,medium,"[{""fact"":""chronic_coronary_disease"",""operator"":""=="",""value"":true},{""fact"":""stable_angina"",""operator"":""=="",""value"":true}]",AND,"{""type"":""therapy_indication"",""fact"":""beta_blocker_or_ccb_first_line_antianginal"",""value"":true}",Either a calcium-channel blocker or beta-blocker is recommended as first-line antianginal therapy.,ACC 2023 Chronic Coronary Disease Guideline,ACC2023_CCD,validated
R045,primary_prevention_aspirin_infrequent,cardiovascular,medium,"[{""fact"":""primary_prevention"",""operator"":""=="",""value"":true},{""fact"":""aspirin"",""operator"":""=="",""value"":true}]",AND,"{""type"":""safety_consideration"",""fact"":""routine_aspirin_not_generally_recommended"",""value"":true}",Aspirin should be used infrequently for routine primary prevention because of limited net benefit.,ACC/AHA 2019 Primary Prevention Guideline,AHA2019_PRIMARY,validated
R046,sglt2_volume_depletion_risk,medication_safety,medium,"[{""fact"":""medications"",""operator"":""contains"",""value"":""sglt2_inhibitor""},{""fact"":""egfr"",""operator"":""<"",""value"":60}]",AND,"{""type"":""safety_monitoring"",""fact"":""volume_depletion_risk_review"",""value"":true}",SGLT2 inhibitor users with reduced kidney function may have increased risk of volume depletion/hypotension.,FDA empagliflozin label,FDA_EMPAGLIFLOZIN,validated
R047,sglt2_loop_diuretic_risk,medication_safety,medium,"[{""fact"":""medications"",""operator"":""contains"",""value"":""sglt2_inhibitor""},{""fact"":""medications"",""operator"":""contains"",""value"":""loop_diuretic""}]",AND,"{""type"":""safety_monitoring"",""fact"":""volume_depletion_risk_review"",""value"":true}",SGLT2 inhibitor users receiving loop diuretics may have increased risk of volume depletion/hypotension.,FDA empagliflozin label,FDA_EMPAGLIFLOZIN,validated
R048,sglt2_acute_illness_ketoacidosis_review,medication_safety,high,"[{""fact"":""medications"",""operator"":""contains"",""value"":""sglt2_inhibitor""},{""fact"":""acute_illness"",""operator"":""=="",""value"":true}]",AND,"{""type"":""safety_alert"",""fact"":""ketoacidosis_risk_review"",""value"":true}",Acute illness can predispose SGLT2 inhibitor users to ketoacidosis; risk should be reviewed.,FDA empagliflozin label,FDA_EMPAGLIFLOZIN,validated
R049,ckd_nephrotoxin_review,ckd,medium,"[{""fact"":""egfr"",""operator"":""<"",""value"":60},{""fact"":""medications"",""operator"":""contains"",""value"":""nsaid""}]",AND,"{""type"":""safety_consideration"",""fact"":""nephrotoxin_exposure_review"",""value"":true}","In lower eGFR ranges, exposure to nephrotoxins such as NSAIDs should be minimized.",ADA 2026 Section 11,ADA2026_S11,validated
R050,advanced_ckd_nephrology_referral,ckd,high,"[{""fact"":""egfr"",""operator"":""<"",""value"":30}]",AND,"{""type"":""referral"",""fact"":""nephrology_referral_consideration"",""value"":true}",Nephrology referral should be considered in advanced CKD with eGFR below 30.,ADA 2026 Section 11,ADA2026_S11,validated
